job,cluster,buffered,group,threads,rdate,files,filesize,fileunit,mode,aggrb,bw,rw,bs,bsunit,ioengine,iodepth
fio-beegfs-write-unbuffered-block_64k-size_4G-threads_8,k8s,0,0,8,2018-11-24 17:53:22,4,4096.0,MB,write,377,377,rw,64,K,psync,1
fio-beegfs-read-unbuffered-block_512k-size_4G-threads_2,k8s,0,0,2,2018-11-23 17:04:07,4,4096.0,MB,read,411,411,rw,512,K,psync,1
fio-beegfs-write-buffered-block_128k-size_2G-threads_4,k8s,1,0,4,2018-11-19 10:43:31,4,2048.0,MB,write,443,443,rw,128,K,psync,1
fio-beegfs-read-buffered-block_512k-size_4G-threads_2,k8s,1,0,2,2018-11-19 05:39:54,4,4096.0,MB,read,1827,1827,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_16k-size_2G-threads_8,k8s,0,0,8,2018-11-24 08:33:57,4,2048.0,MB,read,326,326,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_2G-threads_8,k8s,0,0,8,2018-11-24 13:07:05,4,2048.0,MB,read,499,499,rw,1,M,psync,1
fio-beegfs-read-buffered-block_64k-size_2G-threads_8,k8s,1,0,8,2018-11-19 22:52:31,4,2048.0,MB,read,2942,2942,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_16k-size_4G-threads_8,k8s,0,0,8,2018-11-24 15:47:10,4,4096.0,MB,write,362,362,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_2G-threads_2,k8s,0,0,2,2018-11-23 13:28:40,4,2048.0,MB,read,214,214,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_2G-threads_4,k8s,0,0,4,2018-11-23 21:55:34,4,2048.0,MB,write,372,372,rw,128,K,psync,1
fio-beegfs-write-buffered-block_512k-size_4G-threads_4,k8s,1,0,4,2018-11-19 16:40:07,4,4096.0,MB,write,462,462,rw,512,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_4G-threads_2,k8s,0,0,2,2018-11-23 16:45:25,4,4096.0,MB,write,367,367,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_2G-threads_1,k8s,0,0,1,2018-11-23 08:33:04,4,2048.0,MB,read,115,115,rw,64,K,psync,1
fio-beegfs-write-buffered-block_128k-size_2G-threads_1,k8s,1,0,1,2018-11-18 21:19:17,4,2048.0,MB,write,430,430,rw,128,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_4G-threads_1,k8s,1,0,1,2018-11-18 23:54:36,4,4096.0,MB,write,372,372,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_128k-size_4G-threads_2,k8s,0,0,2,2018-11-23 16:27:02,4,4096.0,MB,read,294,294,rw,128,K,psync,1
fio-beegfs-read-buffered-block_1024k-size_1G-threads_4,k8s,1,0,4,2018-11-19 08:30:54,4,1024.0,MB,read,2867,2867,rw,1,M,psync,1
fio-beegfs-write-buffered-block_1024k-size_1G-threads_4,k8s,1,0,4,2018-11-19 08:43:13,4,1024.0,MB,write,1087,1087,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_512k-size_4G-threads_8,k8s,0,0,8,2018-11-24 21:02:34,4,4096.0,MB,read,510,510,rw,512,K,psync,1
